"id","Means"
15551,14462.9583333333
15552,14428.1666666667
15553,14425.5
15554,14481.9166666667
15555,14556.9166666667
15556,14576.375
15557,14591.3333333333
15558,14597.7083333333
15559,14602.5833333333
15560,14582.9166666667
15561,14549.9166666667
15562,14538.875
15563,14546.2916666667
15564,14553
16267,14437.3333333333
16268,14505.2777777778
16269,14533.5
16270,14504.0416666667
16271,14506.4166666667
16272,14555
16273,14605.8333333333
16274,14660.0416666667
16275,14689.5833333333
16276,14705.5
16277,14703.5416666667
16278,14682.7083333333
16279,14616.6111111111
16280,14525.75
16281,14504.75
16282,14492.375
16283,14490.6666666667
16284,14500.625
16285,14496.4583333333
16286,14502.125
16287,14492.875
16288,14481.3333333333
16289,14456.25
16290,14424
16291,14446.3333333333
16292,14508.5277777778
16293,14556.75
16294,14586.4166666667
16295,14598.75
16296,14604.9166666667
16297,14584.7083333333
16298,14547.2916666667
16299,14536.3333333333
16300,14556.75
16301,14572.25
17004,14529.1666666667
17005,14538.3333333333
17006,14576.6666666667
17007,14567.7916666667
17008,14563.1666666667
17009,14582.875
17010,14613.0416666667
17011,14660.6666666667
17012,14697.1666666667
17013,14716.375
17014,14716.7916666667
17015,14700.6666666667
17016,14610.4166666667
17017,14524.3333333333
17018,14522.1666666667
17019,14510.8333333333
17020,14517.8333333333
17021,14505.7083333333
17022,14482
17023,14495.8333333333
17024,14505.6666666667
17025,14495.7083333333
17026,14473.8333333333
17027,14442.25
17028,14442.1666666667
17029,14474.3888888889
17030,14549.75
17031,14584.25
17032,14594.5416666667
17033,14600.7916666667
17034,14582.4166666667
17035,14548.6666666667
17036,14537.75
17037,14560
17038,14578.3333333333
17740,14587.6666666667
17741,14579.0666666667
17742,14618.4583333333
17743,14633.2083333333
17744,14616.5416666667
17745,14601.9166666667
17746,14600.9166666667
17747,14621.0833333333
17748,14660.4583333333
17749,14697.25
17750,14716.0833333333
17751,14721.5
17752,14708.875
17753,14610.1944444445
17754,14534.6666666667
17755,14543.7083333333
17756,14549.9583333333
17757,14558.0833333333
17758,14545.4166666667
17759,14538.7916666667
17760,14548.0833333333
17761,14544.5416666667
17762,14525
17763,14506.875
17764,14470.5833333333
17765,14451.9166666667
17766,14466.4722222222
17767,14549.125
17768,14586.7083333333
17769,14592.375
17770,14590.4166666667
17771,14583.0416666667
17772,14570.7083333333
17773,14548.125
17774,14546.75
17775,14556.5833333333
18476,14575
18477,14583.3888888889
18478,14593.0833333333
18479,14660.0416666667
18480,14674.375
18481,14668.25
18482,14655.7916666667
18483,14643.1666666667
18484,14638.5416666667
18485,14651.5
18486,14677.5
18487,14703.75
18488,14716.0416666667
18489,14701.3333333333
18490,14616.75
18491,14550.9166666667
18492,14569.75
18493,14597.125
18494,14594.5833333333
18495,14577.4166666667
18496,14586.2916666667
18497,14596.75
18498,14584.7083333333
18499,14556
18500,14522.6666666667
18501,14472.2083333333
18502,14428.8333333333
18503,14434.3055555555
18504,14516.25
18505,14565.9583333333
18506,14587.7083333333
18507,14581.625
18508,14585.3333333333
18509,14591.5
18510,14570.25
18511,14559.375
18512,14563
19212,14600.3333333333
19213,14596.3888888889
19214,14587.625
19215,14613.3055555556
19216,14681.1666666667
19217,14700.9166666667
19218,14706.2916666667
19219,14686.1666666667
19220,14671.9583333333
19221,14667.0416666667
19222,14659.5416666667
19223,14668.625
19224,14691.75
19225,14705.2083333333
19226,14693.4583333333
19227,14617.9722222222
19228,14571.625
19229,14603.2083333333
19230,14632.9166666667
19231,14623.375
19232,14595.7916666667
19233,14588.5833333333
19234,14613.25
19235,14610.25
19236,14571.5
19237,14538.5416666667
19238,14496.7916666667
19239,14432.8333333333
19240,14404.2222222222
19241,14470.125
19242,14521.2916666667
19243,14543.375
19244,14536.9583333333
19245,14555.3333333333
19246,14583.2083333333
19247,14575.2083333333
19248,14565.25
19249,14566.5
19948,14612.8333333333
19949,14598.7222222222
19950,14595.3333333333
19951,14591.25
19952,14632.4166666666
19953,14680.375
19954,14679.1666666667
19955,14683.7916666667
19956,14674.6666666667
19957,14674.3333333333
19958,14684.75
19959,14662.5833333333
19960,14651.0416666667
19961,14665.2916666667
19962,14676.0416666667
19963,14676.5416666667
19964,14613.4722222222
19965,14585.375
19966,14620.25
19967,14638.6666666667
19968,14634
19969,14603.8333333333
19970,14578.1666666667
19971,14611.125
19972,14626.8333333333
19973,14594
19974,14566.9166666667
19975,14538.7083333333
19976,14483.125
19977,14436.1666666666
19978,14472.125
19979,14471.2916666667
19980,14443.6666666667
19981,14426.7916666667
19982,14475.4166666667
19983,14533.9583333333
19984,14531.2083333333
19985,14532.25
19986,14543.0833333333
20683,14505
20684,14530.3333333333
20685,14580.7222222222
