"id","FRP"
39837,72.4333333333333
39838,280.9
39842,285.6
39844,26.7
39845,178.9
39846,7.7
39848,17.1
39859,24.4
39861,37.6
39862,9.1
39863,11.4
39865,41.8
39866,70.35
39867,32.3571428571429
39868,27.8125
39869,39.4
39870,13.0666666666667
39876,30.45
39877,8.9
39879,34.8333333333333
39880,69.9
39881,21
39882,47.6
39883,33.01
39884,58.8
39885,13.9
39886,22.3
40550,32.65
40551,28.8
40558,8.25
40562,23
40567,25.3
40569,14.75
40570,8.15
40571,17.8
40573,56.5
40574,23.1
40575,61
40577,5.45
40578,55.75
40579,57.45
40580,60
40581,34.2
40582,43.2
40583,58.35
40584,308.8
40585,154.633333333333
40586,18.8
40595,40.2
40596,23.05
40602,13.5
40603,13.1
40604,22.34
40605,34.8625
40606,23.7
40607,5.9
40616,27.44
40617,27.0666666666667
40618,15.4
40619,44.3142857142857
40620,31.2333333333333
40621,32.5
40622,89.7333333333333
40623,118.6
41288,11.6
41289,27.5
41299,69.2
41304,16.8
41307,14.45
41308,17
41309,12.3
41310,35.9
41312,238.4
41313,16.4
41314,65.975
41315,81.3
41316,41.38
41317,13.425
41318,22
41319,12.2
41320,26.5
41321,14.6333333333333
41322,15.2
41323,25.8
41326,11.2
41328,23.3333333333333
41332,96.95
41334,6.1
41337,8.7
41340,12.5
41341,22.9
41342,41.8
41343,39.75
41344,32.2
41345,20.1
41350,9.6
41353,48.2
41354,81.55
41355,39.8
41356,57.3333333333333
41357,50.45
41358,59.1333333333333
41359,43.3
41360,30.7
42034,23.3666666666667
42035,27.5
42036,57.3
42046,28
42047,6.7
42049,65.5
42051,58.84
42052,47.94
42053,19.54
42056,9.2
42057,18.5
42058,14.14
42060,11.4
42063,9.5
42064,22.5
42066,13
42068,38
42069,103.4
42070,8.8
42075,16.1
42076,31.7
42077,15
42078,40.4
42079,24.7
42080,31.9
42090,22.8
42092,11.7
42093,126.8
42094,160.35
42095,7.5
42096,9.9
42097,96.8
42767,29
42771,19.1
42772,7.3
42773,22.9
42783,86.5
42784,5.9
42788,14.6666666666667
42790,12.5
42793,226.5
42794,192.9
42795,147.6
42796,42.8
42799,5
42803,31
42807,34.6
42809,24.1
42813,34.4
42814,12.2
42815,47.65
42816,59.15
42817,37.6
42819,32.5
42820,7.1
42824,14.4333333333333
42825,177.3
42826,19.1
42828,18.4
42831,92.5
42832,33.4833333333333
42833,26.8666666666667
43500,6.6
43502,6.2
43504,10.6
43506,26.9
43507,83.5
43508,126.7
43517,8.2
43518,40.8
43519,7.1
43520,114.8
43531,5.3
43532,111.55
43534,7.6
43536,10.9
43538,23.6
43539,33.3
43542,11.9
43543,12.4
43549,34.4
43552,38.6
43553,47.1
43561,78.4
43563,75.74
43564,24.42
43567,9.9
43568,40.7
43569,29.5
43571,25.3
44242,27.3
44243,49.1
44254,12.8
44256,15.5
44272,29.85
44276,16.1
44282,9.6
44299,21.3
44300,35.68
44301,35.45
44302,33
44306,16.85
44307,17.8
44982,35.8
44987,26.6
44988,49.1
45007,25.9
45009,22.9
45019,7.5
45021,13.1
45037,6.9
45040,10.1
45041,10.7
45042,23.3
45043,51.9
45044,23.725
45723,43.4666666666667
45724,20
45725,6.4
45731,11.5
45733,7.7
45734,4.6
45737,6.4
45742,43
45744,9
45745,6.9
